ticker,status,sector,price,pe,fwd_pe,peg,margin_pct,roe_pct,roic_pct,de_ratio,net_debt_to_ebitda,rev_growth_pct,fcf_b,div_yield_pct,mcap_b,beta,note
SU.PA,PASS,Industrials,306.4,36.466434,25.6529,1.85,11.3,18.6,12.7,84.124,1.91,9.8,5.37,1.37,174.0,1.15,
SWED-A.ST,MISSING,Financial Services,380.5,13.798478,14.9646225,7.43,45.1,15.0,2.1,,,5.8,,5.37,427.8,0.565,missing: debt_to_equity
TEL2-B.ST,PASS,Communication Services,164.9,11.414768,25.022692,4.31,33.6,47.6,9.8,135.225,2.25,1.9,7.56,6.37,115.2,0.323,
TMO,PASS,Healthcare,595.89,31.645508,21.384523,1.92,15.0,13.5,7.2,80.575,3.28,10.5,6.24,0.32,217.5,0.847,
TSM,PASS,Technology,430.49,32.15309,19.574158,1.03,49.9,40.0,183.8,16.504,-0.77,36.0,730.83,1.02,2211.3,1.258,
TTE,PASS,Energy,87.05,11.055069,9.160326,0.72,9.1,14.5,9.9,48.045,0.79,27.8,13.53,4.8,195.8,0.062,
UNH,FAIL,,,,,,,,,,,,,,,,profit_margins=0.03135 < 0.05
V,PASS,Financial Services,365.45,30.965136,24.315084,1.65,50.8,61.2,41.5,67.821,0.32,14.4,20.4,0.74,679.9,0.759,
VOO,MISSING,,714.95,,,,,,,,,,,,,,"missing: trailing_pe,profit_margins,debt_to_equity"
VWCE,MISSING,,,,,,,,,,,,,,,,HTTP Error 404: Not Found; chart fallback also failed: HTTP Error 404: Not Found
VWS.CO,PASS,Industrials,204.5,25.15815,17.12741,0.85,5.4,30.9,4.5,89.155,-0.04,26.1,0.52,0.36,202.9,0.966,
